od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_000011,run20260221000458,pt_51f7a555c98f3139,Hawker Centres,1.340788,103.775215,pt_b7965b0c44ffb4b0,Child Care Services,1.304511,103.791460,4.419603,3_8km,802.000,6652.000,2026-02-21T00:05:07.615152+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000012,run20260221000458,pt_ce1e2ba7d7c9de78,Child Care Services,1.305105,103.912660,pt_ca25d9dd747ef3fa,Child Care Services,1.301895,103.887506,2.818962,1_3km,483.000,3394.000,2026-02-21T00:05:08.074503+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000013,run20260221000458,pt_36643dc6436da61d,Child Care Services,1.314139,103.824251,pt_f2463d8899e8d2fd,Child Care Services,1.389305,103.907599,12.478107,8_20km,1695.000,15773.000,2026-02-21T00:05:08.780934+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000014,run20260221000458,pt_0262132905b3cfc9,Child Care Services,1.301529,103.829090,pt_bf19ae6f75903847,Child Care Services,1.316900,103.880328,5.946829,3_8km,876.000,7290.000,2026-02-21T00:05:09.684846+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000015,run20260221000458,pt_83f1f06570e1f8ec,Child Care Services,1.354776,103.933980,pt_fec1c4b72bc3d5ff,Child Care Services,1.331222,103.913800,3.448476,3_8km,756.000,4812.000,2026-02-21T00:05:10.439001+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000016,run20260221000458,pt_358775f46f3f316d,Child Care Services,1.331815,103.947574,pt_a62eda8166184a24,Child Care Services,1.321138,103.938106,1.586597,1_3km,283.000,2327.000,2026-02-21T00:05:11.434280+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000017,run20260221000458,pt_4e57bf9b734dfd30,Community Club / PAssion WaVe Outlet,1.362138,103.841286,pt_b9c89cc9bd1b685e,Child Care Services,1.375725,103.849934,1.790728,1_3km,373.000,2879.000,2026-02-21T00:05:12.235173+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000018,run20260221000458,pt_59a9f213723c537d,Child Care Services,1.324275,103.892702,pt_3ea01eed77798d07,Child Care Services,1.392908,103.890675,7.634967,3_8km,1217.000,9939.000,2026-02-21T00:05:12.806614+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000019,run20260221000458,pt_4ab0b218a6dba7c4,Child Care Services,1.345087,103.717978,pt_8c164560bc6c0ecd,Child Care Services,1.373007,103.837612,13.656516,8_20km,1856.000,20285.000,2026-02-21T00:05:20.543736+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000020,run20260221000458,pt_c7167261e8861121,Hawker Centres,1.279231,103.846619,pt_f551bbd3163166a7,Child Care Services,1.288365,103.811949,3.985738,3_8km,625.000,5004.000,2026-02-21T00:05:21.381454+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
