point_id,dataset_id,dataset_source,postal_code,street_address
pt_0ad7a700d07040ed,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0b0393f1e32cf109,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0b82c961511fcda7,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0ba3ed1495276846,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0bce41b28c997cd4,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0bf5c9b0ac999b83,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0c1493a770390055,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0c25b32ee8087226,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0c6e6af888f2a1cb,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0d0c1193edfcba33,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0d2f8e8f17ea192b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0d783fb6a2695065,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0db0d1f320ec52b4,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0dd110049e91c73a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0dfde577fd177480,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e28666879188630,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e341b3be6a9a4fd,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e3778bf0765e868,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e4c6d7d3de2c10e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e4f633280ed8bf2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e84d7bb364b8956,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0e94ecfd95f5506b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0eab10a1bff029a1,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0f2c76d2359cffe1,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0f9d99835b8dceb5,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_103d8539f00ca011,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_104b38d432064ec2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_108f9842e2174863,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1097d734713a0050,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_10b51e6a427d73e3,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_10dbc0f0857e21dc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_10eb12d5c11a9373,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_110c45543126320b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_113cbd8e073d7239,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_113d51696d296486,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_116d4d43d1624f91,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_117db65927ab74d3,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1185946cd1ae0b00,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_11cb5395995edcfa,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_122dbf5008856969,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1238d111d7912807,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1325618faf913bca,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1368cdafd796d666,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_137832a6b885caac,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13990acb7c812040,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13a5b4c6e2475ba7,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13b23c29a351326b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13c71d30e6a820a2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13daad91cf563c94,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_13dc0fcd0c889166,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1407251604229e3e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_141e45a4846725fa,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_142b16b105cdea0a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_142fb0ecd68845aa,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_144540b290e998aa,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_144778441186d27b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1449d35b422e03cd,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_147021e33c5eea97,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_14d86e11ee3474a8,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_14f194d39711e632,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_151c004152d55a7f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1525d927dd40f8dc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_156137bd746d233b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_15bd080c9dc76b24,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_15c202205634994d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_15db38a6131cd549,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_15e0fd352cfade3a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_162711829a99d855,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1642434750fad266,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1689d102f145b676,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_16a159fbbf46eb7f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_16adf3fba742256e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_16b6a6502b8c2f02,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_16b8f599daae0e70,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_16cce7b2e9165b36,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_174aff11e2e18a20,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_17c8f2479d01352d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_17d5705ce8312f4b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_17ff88516468db94,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_180b6d6fdddd879c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1852b9e213796e8f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1859bc439ced6f44,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_188ba60dd9a862fc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_18be942e7243695d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_18e3159810ea646f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1931b93212b6a825,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_195575834bf4b59a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_195623e639d5eb59,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_19d61e8ee1a27ef2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_19ff268b72b5fe50,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a16cf38c957f329,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a2f625f1d907e9f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a57af0c3fb2f638,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a5b790a93a848e6,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a66461b89dbf816,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a882ab11f78218e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1a8bf120ff17ae46,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ab3995770b93387,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ab7e1dfad6b6c11,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ad69578d1fba83e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1afd6203cf6afe5d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1b16646bf42f5f03,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1b5716342d93af4c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1b88970994baabc5,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ba3a2bfba681191,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1bc09f3e2a6f6f9f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1bc0c1ea9aae911d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1bc997b76f9ae297,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1be77f743e582a0d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c35acada838c1bc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c68a7df183419fc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c6f43b4c9a97266,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c721771ab0d6835,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c7434431c4e4a3c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c9dc171684b929e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1c9e130beeb41538,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ca9bcea3c6714b8,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1cc689a7090493cc,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ce04992174e1d6f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ce5bdfbd14a5b4b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1cedb835d880b214,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d3891ae854d2e45,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d3d6c8eebb36800,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d4da5c635370ceb,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d4fbe275419423e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d5dfc90094c3765,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d61d8abce2cf99d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1d892f837d219e77,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1e3f64f3429c07de,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1e617f3b43612153,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1e61b8761f9090b6,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1e823d2b2786f4b2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1e87a8ddb47bf100,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ec8e55231e4c7f2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ec9f3a6a4763033,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1f0f19e19796f580,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1f31f1bcf344d6cd,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1f40cdce910a6d47,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1fcb79cddb694502,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1fe9c8615df42faf,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_1ff8521350c95ae1,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_201826e0a5ceb7c5,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2022da01db7cec7f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2037c23236c5ca49,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_203c59545bf5a248,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_209c9d94b88c633f,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_20c22b6722b14f2a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2104d3d57c48aa21,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_211376fd5e0c9a1c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_215266cd096aad4e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_21540cfa54084f1d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_218c866427d8d8fd,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2197998c09e51387,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_21d0e3de2ffe0c62,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_21ec20aab3c91c78,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2216b6bc95227a27,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_223f1d7a25d86691,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_22575c04729ba04e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2278d426fdbf9a1c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_229cc09ec7dfad93,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_22a6338f782af994,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_22e5b629467229db,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2325056d353f4664,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_235c3839686317d5,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_235cfa238d993355,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_2396157bb95030d2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_23acd558b26deb6e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_23b192490f56335c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_23b555188ee666e0,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_23d43e51841b01d3,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
