origin_lat,origin_lon,dest_lat,dest_lon,base_duration_s,distance_m,timestamp,actual_duration_s
1.357946,103.845494,1.378292,103.837252,548.0,4932.0,2026-02-21 00:05:51.075656+08:00,692.0
1.374448,103.951823,1.348692,103.950428,555.3333333333334,4998.0,2026-02-21 00:05:51.600129+08:00,610.0
1.29319,103.811253,1.31949,103.841975,646.4444444444445,5818.0,2026-02-21 00:05:52.149239+08:00,735.0
1.317035,103.87931,1.356605,103.883651,728.1111111111111,6553.0,2026-02-21 00:05:52.645634+08:00,815.0
1.3568,103.886248,1.390612,103.879964,756.4444444444445,6808.0,2026-02-21 00:05:53.165546+08:00,934.0
1.312229,103.922621,1.314137,103.898749,451.6666666666667,4065.0,2026-02-21 00:05:53.654242+08:00,513.0
1.336676,103.783709,1.281821,103.847398,1325.5555555555557,11930.0,2026-02-21 00:05:54.287314+08:00,1380.0
1.347091,103.854878,1.389305,103.907599,1247.4444444444443,11227.0,2026-02-21 00:05:54.834200+08:00,1265.0
1.327925,103.723339,1.347793,103.719591,298.77777777777777,2689.0,2026-02-21 00:05:55.323475+08:00,364.0
1.408748,103.905169,1.381248,103.945639,876.4444444444445,7888.0,2026-02-21 00:05:56.082176+08:00,754.0
1.385298,103.900029,1.323537,103.884481,1303.3333333333333,11730.0,2026-02-21 00:05:56.814573+08:00,1069.0
1.382345,103.94237,1.39316,103.88566,1030.6666666666667,9276.0,2026-02-21 00:05:57.386433+08:00,931.0
1.424255,103.845482,1.349936,103.875056,1494.888888888889,13454.0,2026-02-21 00:05:58.178214+08:00,1448.0
1.37748,103.89034,1.3806,103.867424,425.44444444444446,3829.0,2026-02-21 00:05:58.698359+08:00,622.0
1.443376,103.772918,1.430449,103.772774,294.1111111111111,2647.0,2026-02-21 00:05:59.522393+08:00,444.0
1.368749,103.948913,1.379735,103.96224,281.3333333333333,2532.0,2026-02-21 00:06:00.315125+08:00,371.0
1.376295,103.882146,1.328851,103.869185,720.8888888888889,6488.0,2026-02-21 00:06:00.810594+08:00,881.0
1.314618,103.865922,1.293069,103.827034,713.6666666666666,6423.0,2026-02-21 00:06:01.443002+08:00,831.0
1.293273,103.799915,1.300589,103.824479,475.77777777777777,4282.0,2026-02-21 00:06:02.031448+08:00,590.0
1.377909,103.942281,1.338475,103.849513,1873.888888888889,16865.0,2026-02-21 00:06:02.650090+08:00,1445.0
1.32613,103.927924,1.345178,103.790537,2144.8888888888887,19304.0,2026-02-21 00:06:03.460050+08:00,1723.0
1.434998,103.831125,1.348486,103.752598,2002.0,18018.0,2026-02-21 00:06:04.067938+08:00,2118.0
1.303723,103.83524,1.316693,103.838324,265.8888888888889,2393.0,2026-02-21 00:06:04.624489+08:00,321.0
1.293818,103.804887,1.28668,103.813766,260.1111111111111,2341.0,2026-02-21 00:06:05.146332+08:00,354.0
1.28668,103.813766,1.297338,103.814907,202.77777777777777,1825.0,2026-02-21 00:06:05.843457+08:00,308.0
1.375025,103.752113,1.350023,103.746498,424.22222222222223,3818.0,2026-02-21 00:06:06.966005+08:00,503.0
1.387216,103.829163,1.441767,103.824495,911.3333333333334,8202.0,2026-02-21 00:06:07.503737+08:00,959.0
1.348292,103.941192,1.331434,103.936865,325.6666666666667,2931.0,2026-02-21 00:06:08.039793+08:00,464.0
1.376677,103.838361,1.424988,103.844748,890.3333333333334,8013.0,2026-02-21 00:06:08.629645+08:00,972.0
1.322612,103.920876,1.332536,103.867037,981.6666666666666,8835.0,2026-02-21 00:06:09.400921+08:00,923.0
1.297526,103.852133,1.311894,103.841977,327.1111111111111,2944.0,2026-02-21 00:06:09.899259+08:00,367.0
1.35292,103.929501,1.352774,103.942492,268.0,2412.0,2026-02-21 00:06:10.532722+08:00,335.0
1.35496,103.958521,1.326597,103.885052,1285.6666666666667,11571.0,2026-02-21 00:06:11.180193+08:00,1120.0
1.446799,103.80549,1.342764,103.855873,2245.6666666666665,20211.0,2026-02-21 00:06:11.757507+08:00,1845.0
1.357397,103.84943,1.310045,103.769124,1537.2222222222222,13835.0,2026-02-21 00:06:12.275211+08:00,1634.0
1.33441,103.875537,1.358857,103.889428,588.3333333333334,5295.0,2026-02-21 00:06:12.765628+08:00,643.0
1.344062,103.766278,1.346775,103.753336,251.0,2259.0,2026-02-21 00:06:13.285234+08:00,336.0
1.353357,103.95462,1.374159,103.897685,1343.6666666666667,12093.0,2026-02-21 00:06:13.795669+08:00,1146.0
1.37067,103.897529,1.39222,103.886427,451.44444444444446,4063.0,2026-02-21 00:06:14.291663+08:00,506.0
1.402483,103.744473,1.441682,103.785985,1051.6666666666667,9465.0,2026-02-21 00:06:14.773327+08:00,1302.0
1.425962,103.829779,1.444175,103.813886,412.0,3708.0,2026-02-21 00:06:15.238746+08:00,524.0
1.2968,103.802389,1.43084,103.793416,2269.3333333333335,20424.0,2026-02-21 00:06:15.758955+08:00,1863.0
1.383827,103.901684,1.395522,103.902214,195.44444444444446,1759.0,2026-02-21 00:06:16.468623+08:00,257.0
1.33239,103.801672,1.284786,103.832182,914.7777777777778,8233.0,2026-02-21 00:06:17.068392+08:00,965.0
1.403412,103.915952,1.415582,103.905606,350.77777777777777,3157.0,2026-02-21 00:06:17.561106+08:00,504.0
1.319656,103.764455,1.283661,103.817073,994.3333333333334,8949.0,2026-02-21 00:06:18.029905+08:00,1042.0
1.392198,103.898456,1.379593,103.773855,2658.3333333333335,23925.0,2026-02-21 00:06:18.672442+08:00,1909.0
1.428021,103.780897,1.331367,103.85587,2253.6666666666665,20283.0,2026-02-21 00:06:19.173336+08:00,1658.0
1.32358,103.885439,1.348495,103.875567,521.8888888888889,4697.0,2026-02-21 00:06:19.816616+08:00,659.0
1.360337,103.843963,1.376997,103.874738,596.6666666666666,5370.0,2026-02-21 00:06:20.347439+08:00,705.0
1.326985,103.935848,1.325211,103.913195,398.8888888888889,3590.0,2026-02-21 00:06:20.909097+08:00,479.0
1.323034,103.915442,1.315427,103.909938,172.44444444444446,1552.0,2026-02-21 00:06:21.483442+08:00,229.0
1.376783,103.940314,1.434998,103.831125,2192.8888888888887,19736.0,2026-02-21 00:06:21.981333+08:00,1930.0
1.402128,103.913578,1.327725,103.806972,2531.6666666666665,22785.0,2026-02-21 00:06:22.661099+08:00,1905.0
1.354293,103.937595,1.348692,103.950428,303.77777777777777,2734.0,2026-02-21 00:06:23.226759+08:00,417.0
1.40176,103.899944,1.318262,103.881337,1665.111111111111,14986.0,2026-02-21 00:06:23.751995+08:00,1216.0
1.439497,103.791761,1.431511,103.774428,281.6666666666667,2535.0,2026-02-21 00:06:24.219814+08:00,323.0
1.43209,103.846198,1.335788,103.847992,1571.2222222222222,14141.0,2026-02-21 00:06:24.936659+08:00,1603.0
1.311821,103.910557,1.441767,103.824495,2785.8888888888887,25073.0,2026-02-21 00:06:32.644392+08:00,2141.0
1.314618,103.865922,1.313358,103.929964,992.1111111111111,8929.0,2026-02-21 00:06:40.285561+08:00,1091.0
1.425962,103.829779,1.377293,103.745757,1725.4444444444443,15529.0,2026-02-21 00:06:40.844276+08:00,1693.0
1.453845,103.819543,1.393328,103.886618,1866.888888888889,16802.0,2026-02-21 00:06:41.552990+08:00,1641.0
1.321669,103.862718,1.306187,103.850586,513.8888888888889,4625.0,2026-02-21 00:06:42.144531+08:00,634.0
1.365628,103.871831,1.374904,103.895996,444.44444444444446,4000.0,2026-02-21 00:06:42.850257+08:00,539.0
1.330281,103.866402,1.32,103.887363,524.6666666666666,4722.0,2026-02-21 00:06:43.303482+08:00,574.0
1.342764,103.855873,1.371694,103.887729,1038.888888888889,9350.0,2026-02-21 00:06:43.729743+08:00,1125.0
1.328579,103.853873,1.370888,103.844765,939.6666666666666,8457.0,2026-02-21 00:06:44.527264+08:00,934.0
1.358095,103.833356,1.381517,103.841428,457.1111111111111,4114.0,2026-02-21 00:06:45.028928+08:00,569.0
1.37071,103.853495,1.347553,103.84888,461.55555555555554,4154.0,2026-02-21 00:06:45.525442+08:00,623.0
1.312897,103.924111,1.320405,103.936741,231.11111111111111,2080.0,2026-02-21 00:06:46.043115+08:00,282.0
